feature,value,0,1,2
attn_0_0_outputs,0,-0.3310575,-1.0111297,-1.2602445
attn_0_0_outputs,1,0.25244495,1.1699611,-0.41242474
attn_0_0_outputs,2,-0.41645315,0.34735012,0.96224093
attn_0_0_outputs,</s>,-5.238949,-0.367777,2.1626823
attn_0_0_outputs,<pad>,-0.8288492,-1.7228857,0.89941984
attn_0_0_outputs,<s>,-3.7707973,-0.032158967,3.222744
attn_0_0_outputs,_,0.49734795,0.501975,0.6047776
attn_0_0_outputs,_,-0.28128368,-0.9539797,-0.7143283
attn_0_0_outputs,_,0.90825546,-0.17944525,-0.059376635
attn_0_0_outputs,_,0.041870836,-0.18950734,0.67018986
attn_0_0_outputs,_,0.4157993,-0.45626235,-0.18805622
attn_0_0_outputs,_,0.26733267,-0.088401906,-0.6494772
attn_0_0_outputs,_,0.9243682,-0.022583604,0.22073944
attn_0_0_outputs,_,-0.049553856,1.6649255,-0.7478242
attn_0_0_outputs,_,0.8869764,0.8209621,-1.8918486
attn_0_0_outputs,_,-0.3011418,1.7347958,-2.2835486
attn_0_1_outputs,0,-0.941456,0.14545174,0.9509803
attn_0_1_outputs,1,-1.0737433,0.48841435,-0.0897566
attn_0_1_outputs,2,-2.221869,-0.666619,1.2153224
attn_0_1_outputs,</s>,-1.7748832,-1.071658,0.97717506
attn_0_1_outputs,<pad>,-0.5783356,-0.020171642,0.3768645
attn_0_1_outputs,<s>,1.3769436,-0.47951278,0.03235051
attn_0_1_outputs,_,0.36225778,-0.5580072,0.03809151
attn_0_1_outputs,_,-0.4973465,-0.533007,0.6544246
attn_0_1_outputs,_,0.4453811,-0.33014837,-0.013845864
attn_0_1_outputs,_,-0.22580674,-2.2327535,0.22131549
attn_0_1_outputs,_,0.8467915,-0.1136338,-0.096373074
attn_0_1_outputs,_,1.1194086,-0.05660874,-0.4399318
attn_0_1_outputs,_,0.16680704,0.109059416,-1.1541886
attn_0_1_outputs,_,0.96264404,-0.42197838,0.2277424
attn_0_1_outputs,_,0.8740265,0.13076325,-0.7460115
attn_0_1_outputs,_,0.053248893,1.2027313,-1.4055713
attn_0_2_outputs,0,-1.5389674,-1.4629173,0.28292593
attn_0_2_outputs,1,-1.1449387,0.7079773,-0.44482586
