feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,1.2713639,0.67669994,0.45087007,-0.093377694,-0.12313386,-0.3453523
attn_0_0_outputs,1,0.61132616,0.12666807,-0.16256467,-0.4292353,-1.1180575,-0.75602496
attn_0_0_outputs,2,0.5829599,0.20193227,0.05210956,-0.42193058,-0.9779397,-0.6474728
attn_0_0_outputs,3,0.62623936,0.14437798,-0.07256675,-0.42352784,-0.78834736,-0.4227328
attn_0_0_outputs,4,0.70040166,0.13059041,-0.036996797,-0.48103672,-0.6794217,-0.84666127
attn_0_0_outputs,5,1.0091765,0.517869,0.41172177,0.14081478,-0.025026124,-0.46096358
attn_0_0_outputs,6,0.55853367,0.11197148,-0.15281866,-0.59118026,-0.47722718,-0.46543783
attn_0_0_outputs,7,0.7259322,0.27086973,0.025521971,-0.36530042,-0.41041583,-2.0771835
attn_0_1_outputs,0,1.1321987,0.48913997,0.3368008,0.26515692,-0.20622614,-0.5580944
attn_0_1_outputs,1,0.5877554,0.016933452,-0.07231438,-0.2925736,-0.9769072,-0.7049776
attn_0_1_outputs,2,0.62478584,0.016891012,-0.20083353,-0.54362816,-0.8717647,-0.6679622
attn_0_1_outputs,3,0.9646137,0.3936027,0.2876886,0.31399223,-0.379373,-0.2860745
attn_0_1_outputs,4,0.5034677,-0.19161169,-0.16535537,-0.52558154,-0.78878915,-0.7555327
attn_0_1_outputs,5,0.5366925,-0.035467587,-0.024846205,-0.2412973,-0.60579705,-0.39642486
attn_0_1_outputs,6,0.7761095,0.28498006,0.18487068,0.060932092,-0.9551573,-0.37013748
attn_0_1_outputs,7,0.71849376,0.3059409,0.11038354,-0.036673732,-0.5900396,-0.34623852
attn_0_2_outputs,0,0.7485555,0.18444659,0.23074386,-0.35405377,-0.7079824,-0.3883361
attn_0_2_outputs,1,0.6981949,-0.06247683,0.19543305,-0.39400053,-0.5970159,-0.7212125
attn_0_2_outputs,2,0.5987948,-0.008470936,0.016205069,-0.4598501,-0.7239886,-0.8325199
attn_0_2_outputs,3,0.9108494,0.24084514,0.26130453,-0.44938174,-0.72164863,-0.41121444
attn_0_2_outputs,4,0.4744271,-0.2103969,0.014759865,-0.628149,-0.58202803,-0.65188897
attn_0_2_outputs,5,0.49037847,-0.003907655,-0.0064956173,-0.64054215,-0.80074877,-0.35333076
attn_0_2_outputs,6,0.72086906,0.1599802,0.2999236,-0.15548448,-0.93823457,-0.55180633
attn_0_2_outputs,7,0.82082814,0.21786307,0.36978596,-0.044778883,-0.5580843,-0.97048384
attn_0_3_outputs,0,1.5493133,0.709778,0.4332799,-0.14842841,0.17568067,-0.02855796
attn_0_3_outputs,1,1.3411152,0.5170981,-0.0027066665,-0.37223235,-0.59242594,-0.24244791
attn_0_3_outputs,2,1.0001129,0.17877126,-0.2857328,-0.6727175,-0.8435155,-0.5642492
attn_0_3_outputs,3,0.8386811,0.005654564,-0.37769723,-0.672608,-0.90688944,-0.9094445
attn_0_3_outputs,4,0.7847397,-0.15448579,-0.42290482,-0.7508671,-1.0657977,-0.725848
attn_0_3_outputs,5,0.72120357,-0.1424739,-0.43785143,-0.926019,-1.3901378,-0.9919402
attn_0_3_outputs,6,0.5451147,-0.20009036,-0.50538653,-0.6610933,-0.5840334,-0.5535369
attn_0_3_outputs,7,0.79472286,0.17197913,-0.0688591,-0.24640448,-0.32927918,-0.9156341
mlp_0_0_outputs,0,0.9726084,0.5017546,-0.03849867,0.24792594,-0.20586957,-0.21464829
mlp_0_0_outputs,1,0.25437856,0.76227677,0.8601412,-0.011801714,-0.1155399,-0.254653
mlp_0_0_outputs,2,0.39409232,0.49243763,0.44255993,-0.83297,-0.24124552,-0.3249198
mlp_0_0_outputs,3,0.56125194,1.0897205,0.7433648,0.24453734,-0.43965912,-0.2309809
mlp_0_0_outputs,4,0.053877275,0.23585837,1.3842453,-0.9346033,-0.6592798,-0.3224718
mlp_0_0_outputs,5,0.110131346,0.65037423,0.30137894,0.73363584,0.7086507,-0.9147544
mlp_0_0_outputs,6,0.41666704,0.6807369,-0.19418877,0.50521517,-1.8354023,-0.7267946
mlp_0_0_outputs,7,0.072538584,0.71202636,0.050432,-0.29131955,-0.19283068,-0.34861642
mlp_0_1_outputs,0,0.58169603,0.31841552,0.35061863,-0.38915393,-0.67709893,0.5094947
mlp_0_1_outputs,1,0.029095503,0.47830582,0.43520558,0.94287485,0.30370235,-0.8263949
mlp_0_1_outputs,2,-0.06659352,0.61050856,0.31197825,-0.40101987,0.0045343796,-0.5992595
mlp_0_1_outputs,3,0.6120257,0.76179117,0.2255134,0.18871991,-0.96529126,-1.2893307
