epoch,epoch_loss,split,loss,acc,sample_fn
0,3.0166965,train,2.5638363,0.23968936222743442,gumbel_soft
0,3.0166965,val,2.5617166,0.2348538484879134,gumbel_soft
0,3.0166965,test,2.57198,0.23374038896426957,gumbel_soft
1,2.3828723,train,2.2415032,0.31266903834715565,gumbel_soft
1,2.3828723,val,2.2433784,0.31020532011732577,gumbel_soft
1,2.3828723,test,2.2382145,0.30456806874717324,gumbel_soft
2,2.0545564,train,1.8780336,0.38861144466764674,gumbel_soft
2,2.0545564,val,1.9328651,0.35511277435015676,gumbel_soft
2,2.0545564,test,1.8797041,0.3734961555857078,gumbel_soft
3,1.7937555,train,1.6578337,0.42664437137374167,gumbel_soft
3,1.7937555,val,1.6538546,0.42783453019116013,gumbel_soft
3,1.7937555,test,1.6773223,0.4162822252374491,gumbel_soft
4,1.6103745,train,1.57023,0.43600390541708284,gumbel_soft
4,1.6103745,val,1.5456256,0.43764539294022453,gumbel_soft
4,1.6103745,test,1.5820613,0.43057440072365444,gumbel_soft
5,1.5228273,train,1.4710197,0.4690428361408195,gumbel_soft
5,1.5228273,val,1.466039,0.4714271265297866,gumbel_soft
5,1.5228273,test,1.4615313,0.4680235187697874,gumbel_soft
6,1.4642617,train,1.4606454,0.45729291750367534,gumbel_soft
6,1.4642617,val,1.4025787,0.48396884798219886,gumbel_soft
6,1.4642617,test,1.4680644,0.45508819538670287,gumbel_soft
7,1.4193205,train,1.3885915,0.49072463442827163,gumbel_soft
7,1.4193205,val,1.3652223,0.49742085566906036,gumbel_soft
7,1.4193205,test,1.3961046,0.48222523744911805,gumbel_soft
8,1.3914875,train,1.3540928,0.5074461041220106,gumbel_soft
8,1.3914875,val,1.4480953,0.48245170425811673,gumbel_soft
8,1.3914875,test,1.4466919,0.4699231117141565,gumbel_soft
9,1.3648728,train,1.40986,0.4713771084202139,gumbel_soft
9,1.3648728,val,1.299799,0.5212905835946192,gumbel_soft
9,1.3648728,test,1.4547735,0.44938941655359566,gumbel_soft
10,1.3468155,train,1.279582,0.5205763856936043,gumbel_soft
10,1.3468155,val,1.2605375,0.5268534439162537,gumbel_soft
10,1.3468155,test,1.3079047,0.5121664405246494,gumbel_soft
11,1.2640191,train,1.2475224,0.5325844209770276,gumbel_soft
11,1.2640191,val,1.263326,0.5306968746839283,gumbel_soft
11,1.2640191,test,1.2907088,0.5176843057440073,gumbel_soft
12,1.3132259,train,1.261007,0.523393223876912,gumbel_soft
12,1.3132259,val,1.241884,0.5297865884494791,gumbel_soft
12,1.3132259,test,1.2695231,0.5193125282677521,gumbel_soft
13,1.2340361,train,1.1862159,0.5553996880155319,gumbel_soft
13,1.2340361,val,1.1923399,0.5490037422878528,gumbel_soft
13,1.2340361,test,1.1777176,0.5551334237901402,gumbel_soft
14,1.1672331,train,1.1923646,0.5588562065830968,gumbel_soft
14,1.1672331,val,1.1358538,0.5737837564478608,gumbel_soft
14,1.1672331,test,1.183176,0.5581184984170059,gumbel_soft
15,1.1967233,train,1.2175969,0.5432008708631196,gumbel_soft
15,1.1967233,val,1.2122816,0.5437443107110347,gumbel_soft
15,1.1967233,test,1.2115043,0.5436454093170511,gumbel_soft
16,1.2039988,train,1.1341429,0.5725812786874207,gumbel_soft
16,1.2039988,val,1.1197516,0.5711540406594519,gumbel_soft
16,1.2039988,test,1.1398388,0.5711442786069652,gumbel_soft
17,1.1491518,train,1.1356298,0.5706061252202408,gumbel_soft
17,1.1491518,val,1.2220403,0.5431374532214018,gumbel_soft
17,1.1491518,test,1.1840171,0.5508819538670285,gumbel_soft
18,1.1172389,train,1.1364691,0.5659151357356885,gumbel_soft
18,1.1172389,val,1.1149195,0.5776271872155355,gumbel_soft
18,1.1172389,test,1.1471447,0.5679782903663501,gumbel_soft
19,1.1413846,train,1.0997417,0.580077883892399,gumbel_soft
19,1.1413846,val,1.083337,0.5886517649438657,gumbel_soft
19,1.1413846,test,1.0856415,0.583989145183175,gumbel_soft
20,1.1086184,train,1.0767573,0.5915921308090274,gumbel_soft
20,1.1086184,val,1.109453,0.5801557600890057,gumbel_soft
20,1.1086184,test,1.1449856,0.5658073270013568,gumbel_soft
21,1.0868381,train,1.1038778,0.5883151716475697,gumbel_soft
21,1.0868381,val,1.0470997,0.6035197734398705,gumbel_soft
21,1.0868381,test,1.1076987,0.5846223428312981,gumbel_soft
22,1.0888474,train,1.0800683,0.5882702817960429,gumbel_soft
22,1.0888474,val,1.1119909,0.5783351876201072,gumbel_soft
22,1.0888474,test,1.11104,0.5698778833107191,gumbel_soft
23,1.0427539,train,1.058444,0.602332027786818,gumbel_soft
23,1.0427539,val,1.0627251,0.5968443410539092,gumbel_soft
23,1.0427539,test,1.0918926,0.5886024423337857,gumbel_soft
24,1.0385344,train,1.0325164,0.6109284343542034,gumbel_soft
24,1.0385344,val,1.0347885,0.6119146353797916,gumbel_soft
24,1.0385344,test,1.0749533,0.5888738127544098,gumbel_soft
25,1.0536677,train,1.0360718,0.609727630825861,gumbel_soft
25,1.0536677,val,1.070258,0.6001820572468899,gumbel_soft
25,1.0536677,test,1.0468174,0.6001809136137495,gumbel_soft
26,1.043776,train,1.0248458,0.6146767369566926,gumbel_soft
26,1.043776,val,1.0013171,0.6271872155355518,gumbel_soft
26,1.043776,test,1.1022719,0.5813658977838082,gumbel_soft
27,1.0547233,train,1.0399578,0.6111753285376008,gumbel_soft
27,1.0547233,val,1.0367051,0.6045312025892586,gumbel_soft
27,1.0547233,test,1.0603158,0.59041157847128,gumbel_soft
28,1.0708382,train,1.0310096,0.6106478727821608,gumbel_soft
28,1.0708382,val,1.1907815,0.5690300394457368,gumbel_soft
28,1.0708382,test,1.0385789,0.6108548168249661,gumbel_soft
29,1.0872257,train,1.0300049,0.6140146116466719,gumbel_soft
29,1.0872257,val,1.0938778,0.5967431981389704,gumbel_soft
29,1.0872257,test,1.0582366,0.601899592944369,gumbel_soft
30,1.0417812,train,1.0178858,0.6147328492711011,gumbel_soft
30,1.0417812,val,1.0439754,0.6073632042075453,gumbel_soft
30,1.0417812,test,1.0404854,0.6087743102668476,gumbel_soft
31,1.035859,train,1.0088165,0.6205124176551786,gumbel_soft
31,1.035859,val,1.0129229,0.6135329220188126,gumbel_soft
31,1.035859,test,1.0442307,0.6115784712799638,gumbel_soft
32,0.993445,train,0.9864522,0.6262807635763745,gumbel_soft
32,0.993445,val,1.034489,0.6131283503590573,gumbel_soft
32,0.993445,test,1.0102283,0.6145635459068295,gumbel_soft
33,1.0224334,train,1.0030994,0.6244178347380116,gumbel_soft
33,1.0224334,val,1.0626335,0.608576919186811,gumbel_soft
33,1.0224334,test,0.99797475,0.620171867933062,gumbel_soft
34,1.0336882,train,1.0279837,0.6127015834895126,gumbel_soft
34,1.0336882,val,1.0850679,0.5905734803277031,gumbel_soft
34,1.0336882,test,1.0651689,0.6015377657168702,gumbel_soft
35,1.0393422,train,1.0262804,0.6184138170963,gumbel_soft
35,1.0393422,val,1.0021936,0.62647921513098,gumbel_soft
35,1.0393422,test,1.0620979,0.6000904568068747,gumbel_soft
36,1.0555817,train,1.0366266,0.613027034913082,gumbel_soft
